Unnamed: 0,task_id,title,description,status,source_layer,matched_file,source,main_branch
75,TASK076,Setup error trace viewer,Display recent error logs for logic,pending,v1,—,v1_csv,CORE_SETUP
76,TASK077,Sync static files (CSS/JS),Copy updated frontend files to test,pending,v1,—,v1_csv,SYNC_AND_BACKUP
77,TASK078,Enable logic preview popup,Quick preview of logic content,pending,v1,—,v1_csv,FRONTEND_ROUTES
78,TASK079,Add UI file validator,Validate ZIPs for missing/extra files,pending,v1,—,v1_csv,MISC
79,TASK080,Setup Celery retry logic,Retry background sync on failure,pending,v1,—,v1_csv,CORE_SETUP
80,TASK081,Add dev-level badges,Assign 'Fast Finisher',pending,v1,—,v1_csv,ADMIN_CONTROLS
81,TASK082,Add logic file version,Maintain logic file history,pending,v1,—,v1_csv,MISC
82,TASK083,Track test success/fail,Link logic to test pass status,pending,v1,—,v1_csv,MISC
83,TASK084,Enable Docker rebuild,Rebuild containers post logic sync,pending,v1,—,v1_csv,SYNC_AND_BACKUP
84,TASK085,Track broken migrations,Log Alembic errors if any,pending,v1,—,v1_csv,CORE_SETUP
85,TASK086,Visualize route coverage,Route → logic → model path,pending,v1,—,v1_csv,MISC
86,TASK087,Track user activity in Dev Bucket,Log UI usage,pending,v1,—,v1_csv,USER_MANAGEMENT
87,TASK088,Tag untracked logic,Detect logic not mapped to any task,pending,v1,—,v1_csv,ADMIN_CONTROLS
88,TASK089,Auto suggest task based on commit,AI-based auto assignment,pending,v1,—,v1_csv,ADMIN_CONTROLS
89,TASK090,Enable dark mode toggle,Switch dashboard to dark theme,pending,v1,—,v1_csv,ADMIN_CONTROLS
90,TASK091,Enable UI localization,Translate UI to Hindi,pending,v1,—,v1_csv,MISC
91,TASK092,Track logic by folder group,Cluster logic under services,pending,v1,—,v1_csv,MISC
92,TASK093,Add notification center,Show sync/submit/task alerts,pending,v1,—,v1_csv,NOTIFICATION_SYSTEM
93,TASK094,Enable logic lint checker,Auto format + suggest corrections,pending,v1,—,v1_csv,FRONTEND_ROUTES
94,TASK095,Mark required files per task,Define expected upload content,pending,v1,—,v1_csv,ADMIN_CONTROLS
95,TASK096,Enable direct logic edit in browser,VS Code-style editor in modal,pending,v1,—,v1_csv,FRONTEND_ROUTES
96,TASK097,Setup build notifier,Notify when ZIP uploaded successfully,pending,v1,—,v1_csv,CORE_SETUP
97,TASK098,Export Dev Task Summary,CSV export for admin tracking,pending,v1,—,v1_csv,ADMIN_CONTROLS
98,TASK099,Setup upload API for bot,Programmatic task submit endpoint,pending,v1,—,v1_csv,CORE_SETUP
99,TASK100,Enable chunked ZIP upload,Support partial uploads for large files,pending,v1,—,v1_csv,MISC
100,TASK101,Scan for circular imports,Mark files with cyclic dependencies,pending,v1,—,v1_csv,MISC
101,TASK102,Enable nested task view,Show subtasks per master task,pending,v1,—,v1_csv,FRONTEND_ROUTES
102,TASK103,Setup task dependency map,Link dependent tasks,pending,v1,—,v1_csv,CORE_SETUP
103,TASK104,Allow task reassignment,Admin can move task to another dev,pending,v1,—,v1_csv,ADMIN_CONTROLS
104,TASK105,Mark cross-linked logic,Logic used in more than one feature,pending,v1,—,v1_csv,MISC
105,TASK106,Enable logic owner attribution,Mark original creator in file,pending,v1,—,v1_csv,MISC
106,TASK107,Enable project-wide logic view,Full visual map of all logic,pending,v1,—,v1_csv,FRONTEND_ROUTES
107,TASK108,Setup plugin-like extensions,Enable dynamic loading of new logic,pending,v1,—,v1_csv,CORE_SETUP
108,TASK109,Add metadata parser,Pull info from docstrings,pending,v1,—,v1_csv,MISC
109,TASK110,Scan logic for sensitive info,Detect hardcoded keys/passwords,pending,v1,—,v1_csv,USER_MANAGEMENT
110,TASK111,Add AI code review option,Optional Copilot-style suggestions,pending,v1,—,v1_csv,FRONTEND_ROUTES
111,TASK112,Enable logic block comments,Inline review system,pending,v1,—,v1_csv,FRONTEND_ROUTES
112,TASK113,Enable zip structure validator,Detect folder mismatch in ZIP,pending,v1,—,v1_csv,MISC
113,TASK114,Export logic list to Excel,One-click Excel export,pending,v1,—,v1_csv,MISC
114,TASK115,Highlight logic change history,Git-style timeline,pending,v1,—,v1_csv,MISC
115,TASK116,Add logic tags (public/internal),Restrict visibility,pending,v1,—,v1_csv,MISC
116,TASK117,Enable group upload,Team-based submit flow,pending,v1,—,v1_csv,MISC
117,TASK118,Track unused DB tables,Compare models vs actual usage,pending,v1,—,v1_csv,MISC
118,TASK119,Add logic index page,Search all logic quickly,pending,v1,—,v1_csv,MISC
119,TASK120,Tag logic by route,Attach logic to specific route,pending,v1,—,v1_csv,MISC
120,TASK121,Enable logic QR share,Quick open via QR,pending,v1,—,v1_csv,MISC
121,TASK122,Add model-logic conflict detector,Check for missing relationships,pending,v1,—,v1_csv,MISC
122,TASK123,Add DB auto index suggester,Suggest DB indexes based on usage,pending,v1,—,v1_csv,MISC
123,TASK124,Scan for slow queries,Find ORM logic causing lag,pending,v1,—,v1_csv,MISC
124,TASK125,Create sync error dashboard,Track failed syncs,pending,v1,—,v1_csv,SYNC_AND_BACKUP
125,TASK126,Auto-patch route conflicts,Fix same-path routes automatically,pending,v1,—,v1_csv,MISC
126,TASK127,Enable AI logic summary,One-line logic description,pending,v1,—,v1_csv,MISC
127,TASK128,Setup static asset cache,Prevent stale JS/CSS,pending,v1,—,v1_csv,CORE_SETUP
128,TASK129,Sync docker logs to UI,View recent log output,pending,v1,—,v1_csv,SYNC_AND_BACKUP
129,TASK130,Enable ZIP previewer,Show contents before upload,pending,v1,—,v1_csv,FRONTEND_ROUTES
130,TASK131,Enable re-download option,Allow dev to redownload uploaded task,pending,v1,—,v1_csv,ADMIN_CONTROLS
131,TASK132,Track package.json deps,Sync frontend changes,pending,v1,—,v1_csv,SYNC_AND_BACKUP
132,TASK133,Add service-based grouping,Group logic under Hospital/Lab/etc.,pending,v1,—,v1_csv,PARTNER_ONBOARDING
133,TASK134,Enable logic copy tool,Quick duplicate and edit logic,pending,v1,—,v1_csv,MISC
134,TASK135,Add logic test runner,One-click run test for logic,pending,v1,—,v1_csv,MISC
135,TASK136,Auto lint + format pre-upload,Prevent messy code,pending,v1,—,v1_csv,FRONTEND_ROUTES
136,TASK137,Add celery task monitor,View active/retry/failed tasks,pending,v1,—,v1_csv,FRONTEND_ROUTES
137,TASK138,Enable context tagging,Show where logic is called,pending,v1,—,v1_csv,MISC
138,TASK139,Add live stats on dev bucket,Show submissions/hour,pending,v1,—,v1_csv,MISC
139,TASK140,Add schema auto sync,DB model → JSON schema push,pending,v1,—,v1_csv,SYNC_AND_BACKUP
140,TASK141,Create post-submit checklist,Must pass before success,pending,v1,—,v1_csv,MISC
141,TASK142,Scan logic for TODOs,Unfinished items,pending,v1,—,v1_csv,MISC
142,TASK143,Mark critical logic files,Prevent deletion,pending,v1,—,v1_csv,MISC
143,TASK144,Sync scan report to admin,Email summary,pending,v1,—,v1_csv,NOTIFICATION_SYSTEM
144,TASK145,Auto mark deprecated logic,Based on age or tags,pending,v1,—,v1_csv,MISC
145,TASK146,Create logic doc generator,Auto markdown for each file,pending,v1,—,v1_csv,MISC
146,TASK147,Tag UI usage per logic,Used in modal/home/profile,pending,v1,—,v1_csv,USER_MANAGEMENT
147,TASK148,Link Figma ID to UI tasks,Track UI from Figma,pending,v1,—,v1_csv,ADMIN_CONTROLS
148,TASK149,Enable priority override,Admin push logic to top,pending,v1,—,v1_csv,ADMIN_CONTROLS
149,TASK150,Enable flag for blocked task,Needs approval/clarity,pending,v1,—,v1_csv,ADMIN_CONTROLS
150,TASK151,Enable logic A/B testing,Try multiple versions,pending,v1,—,v1_csv,MISC
151,TASK152,Setup end-to-end test tracker,Link tasks to Cypress/Playwright,pending,v1,—,v1_csv,CORE_SETUP
152,TASK153,Enable component reuse checker,Scan for redundant UI,pending,v1,—,v1_csv,MISC
153,TASK154,Enable logic folder ownership,Lock per team,pending,v1,—,v1_csv,MISC
154,TASK155,Add sync report preview,Before final submit,pending,v1,—,v1_csv,SYNC_AND_BACKUP
155,TASK156,Add AI suggest missing files,Zip upload validator,pending,v1,—,v1_csv,MISC
156,TASK157,Build modular test scaffold,Template for unit tests,pending,v1,—,v1_csv,FRONTEND_ROUTES
157,TASK158,Enable logic notify webhook,Ping on success,pending,v1,—,v1_csv,MISC
158,TASK159,Add contribution heatmap,Calendar view,pending,v1,—,v1_csv,FRONTEND_ROUTES
159,TASK160,Add function-level annotation,Inline explanations,pending,v1,—,v1_csv,MISC
160,TASK161,Enable error trace attach,Dev can attach traceback,pending,v1,—,v1_csv,MISC
161,TASK162,Enable logic submission notes,Dev optional explanation,pending,v1,—,v1_csv,MISC
162,TASK163,Enable code search by keyword,VS Code style,pending,v1,—,v1_csv,MISC
163,TASK164,Enable logic export via API,For documentation use,pending,v1,—,v1_csv,MISC
164,TASK165,Enable smart ZIP name validation,Check format,pending,v1,—,v1_csv,FRONTEND_ROUTES
165,TASK166,Enable logic inheritance map,Parent-child functions,pending,v1,—,v1_csv,MISC
166,TASK167,Mark test-blocked logic,Awaiting test infra,pending,v1,—,v1_csv,MISC
167,TASK168,Show sync history per logic,Past submit timeline,pending,v1,—,v1_csv,SYNC_AND_BACKUP
168,TASK169,Enable ZIP → folder unpacker,Auto extract and compare,pending,v1,—,v1_csv,MISC
169,TASK170,Track logic response time,From request to DB,pending,v1,—,v1_csv,MISC
170,TASK171,Add zip checksum validator,Detect upload corruption,pending,v1,—,v1_csv,MISC
171,TASK172,Enable celery job retry viewer,See retry count/reason,pending,v1,—,v1_csv,FRONTEND_ROUTES
172,TASK173,Enable API schema visualizer,FastAPI auto-doc,pending,v1,—,v1_csv,MISC
173,TASK174,Enable broken route tracker,Dead endpoints,pending,v1,—,v1_csv,MISC
174,TASK175,Enable sync summary alert,Popup after every task,pending,v1,—,v1_csv,NOTIFICATION_SYSTEM
175,TASK176,Sync final logic to prod,Push to production after pass,pending,v1,—,v1_csv,SYNC_AND_BACKUP
176,TASK177,Enable system audit log,Track all changes,pending,v1,—,v1_csv,MISC
177,TASK178,Enable logic sync chain,Logic A depends on B etc.,pending,v1,—,v1_csv,SYNC_AND_BACKUP
178,TASK179,Track rejected tasks,History of rejected uploads,pending,v1,—,v1_csv,ADMIN_CONTROLS
179,TASK180,Show global progress bar,Dev/Task % overall,pending,v1,—,v1_csv,ADMIN_CONTROLS
180,TASK181,Enable VCS sync option,Sync to GitHub/Gitea,pending,v1,—,v1_csv,SYNC_AND_BACKUP
181,TASK182,Enable smart link to task,Open task from commit,pending,v1,—,v1_csv,ADMIN_CONTROLS
182,TASK183,Enable AI prompt assist,Auto fill ZIP reason,pending,v1,—,v1_csv,MISC
183,TASK184,Enable legacy ZIP importer,Auto convert V1 zip,pending,v1,—,v1_csv,MISC
184,TASK185,Enable component registry,UI component doc,pending,v1,—,v1_csv,MISC
185,TASK186,Enable cloud sync toggle,Enable S3 sync,pending,v1,—,v1_csv,SYNC_AND_BACKUP
186,TASK187,Enable fallback ZIP upload,Retry via browser,pending,v1,—,v1_csv,MISC
187,TASK188,Enable logic tag bulk edit,Change tags via UI,pending,v1,—,v1_csv,MISC
188,TASK189,Enable dev logic notes,Private notes per file,pending,v1,—,v1_csv,MISC
189,TASK190,Final task: Review & QA,End-to-end review of system,pending,v1,—,v1_csv,FRONTEND_ROUTES
190,TASK191,FastAPI + Jinja2 templating,Core platform architecture,pending,Core,—,pdf,FRONTEND_ROUTES
191,TASK192,PostgreSQL + Alembic migration,Database system setup,partial,Core,smartswasthya/alembic/env.py,pdf,CORE_SETUP
192,TASK193,Docker microservices,"Containers: smart_app, smart_db, smart_minio",partial,Core,smartswasthya/tools/trace_generator.py,pdf,SYNC_AND_BACKUP
193,TASK194,OTP System - Mobile + Email,OTP via Fast2SMS and Email cooldown,partial,Core,smartswasthya/blueprints/dev_bucket_routes.py,pdf,NOTIFICATION_SYSTEM
194,TASK195,Sync Logic Phase 1,Local → Server sync working,done,Core,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,pdf,SYNC_AND_BACKUP
195,TASK196,Sync Logic Phase 2,Server → Node propagation,done,Core,smartswasthya/blueprints/sync_routes.py,pdf,SYNC_AND_BACKUP
196,TASK197,MinIO Chunk Logic,STEP 3-B implemented,done,Core,smartswasthya/logic/admin_trace_logic.py,pdf,SYNC_AND_BACKUP
197,TASK198,ABHA / Aadhaar Integration,Future Aadhaar linkage,pending,Core,—,pdf,KYC_WORKFLOWS
198,TASK199,File browser + editor,Ace/Monaco UI + File API,partial,Debug,smartswasthya/blueprints/dev_bucket_routes.py,pdf,MISC
199,TASK200,Patch directory logic,Upload & apply patches,done,Debug,smartswasthya/logic/admin_trace_logic.py,pdf,MISC
200,TASK201,Log tail via subprocess,WebSocket or subprocess stream logs,partial,Debug,smartswasthya/handler.py,pdf,MISC
201,TASK202,Smart Patch Suggestion,Auto-patch logic via AI,done,Debug,smartswasthya/routes/smartuser.py,pdf,MISC
202,TASK203,Side-by-side file diff,Visual comparison UI,partial,Debug,smartswasthya/blueprints/dev_bucket_routes.py,pdf,MISC
203,TASK204,DevBucket Phase 1,Basic engine + task files,done,DevBucket,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,pdf,ADMIN_CONTROLS
204,TASK205,DevBucket Phase 2,"Gmail notifications, logs",pending,DevBucket,—,pdf,NOTIFICATION_SYSTEM
205,TASK206,DevBucket Phase 3-A,Instruction editor approval UI,pending,DevBucket,—,pdf,MISC
206,TASK207,DevBucket Phase 3-B,Auto-slide pending → visible,pending,DevBucket,—,pdf,MISC
207,TASK208,DevBucket Phase 3-C,Task reassignment logic,pending,DevBucket,—,pdf,ADMIN_CONTROLS
208,TASK209,DevBucket Phase 3-D,Admin UI panel,pending,DevBucket,—,pdf,KYC_WORKFLOWS
209,TASK210,DevBucket Phase 4,Smart priority + expiry alerts,done,DevBucket,smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,pdf,NOTIFICATION_SYSTEM
210,TASK211,Model aliasing,SmartUser → User mapping,partial,Compat,smartswasthya/obvious_mapper.py,pdf,USER_MANAGEMENT
211,TASK212,Self-contained logics,"moderator.py, token_manager.py, email_verification.py",pending,Compat,—,pdf,KYC_WORKFLOWS
212,TASK213,Route-to-model trace,Auto-map routes to model usage,partial,Compat,smartswasthya/obvious_mapper.py,pdf,MISC
213,TASK214,Detected logic: get_db,Auto-detected from scan in smartswasthya/database.py,done,AutoScan,smartswasthya/database.py,auto_scan,CORE_SETUP
214,TASK215,Detected logic: check_router_imports,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
215,TASK216,Detected logic: check_main_app_entry,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
216,TASK217,Detected logic: check_structure_consistency,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
217,TASK218,Detected logic: find_duplicate_routes,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
218,TASK219,Detected logic: log,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
219,TASK220,Detected logic: load_safe,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
220,TASK221,Detected logic: save_safe,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
221,TASK222,Detected logic: add_safe_folder,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
222,TASK223,Detected logic: update_tags,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
223,TASK224,Detected logic: full_scan,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
224,TASK225,Detected logic: trigger_reload,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
225,TASK226,Detected logic: generate_assist,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
226,TASK227,Detected logic: home,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
227,TASK228,Detected logic: rename_route,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
228,TASK229,Detected logic: command,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan,MISC
229,TASK230,Detected logic: health,Auto-detected from scan in smartswasthya/main.py,done,AutoScan,smartswasthya/main.py,auto_scan,HEALTH_SERVICES
230,TASK231,Detected logic: ensure_all_inits,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan,CORE_SETUP
231,TASK232,Detected logic: extract_classes_from_model,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan,MISC
232,TASK233,Detected logic: generate_model_trace,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan,MISC
233,TASK234,Detected logic: run,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan,MISC
234,TASK235,Detected logic: register_section,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan,USER_MANAGEMENT
235,TASK236,Detected logic: run_migrations_offline,Auto-detected from scan in smartswasthya/alembic/env.py,done,AutoScan,smartswasthya/alembic/env.py,auto_scan,CORE_SETUP
236,TASK237,Detected logic: run_migrations_online,Auto-detected from scan in smartswasthya/alembic/env.py,done,AutoScan,smartswasthya/alembic/env.py,auto_scan,CORE_SETUP
237,TASK238,Detected logic: upgrade,Auto-detected from scan in smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,done,AutoScan,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,auto_scan,CORE_SETUP
238,TASK239,Detected logic: downgrade,Auto-detected from scan in smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,done,AutoScan,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,auto_scan,CORE_SETUP
239,TASK240,Detected logic: get_file,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan,MISC
240,TASK241,Detected logic: can_upload,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan,MISC
241,TASK242,Detected logic: ping,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan,MISC
242,TASK243,Detected logic: get_system_tasks,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan,ADMIN_CONTROLS
243,TASK244,Detected logic: dev_bucket_ui,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan,MISC
244,TASK245,Detected logic: sync_placeholder,Auto-detected from scan in smartswasthya/blueprints/sync_routes.py,done,AutoScan,smartswasthya/blueprints/sync_routes.py,auto_scan,SYNC_AND_BACKUP
245,TASK246,Detected logic: scan_modified,Auto-detected from scan in smartswasthya/console_refactor/console_routes.py,done,AutoScan,smartswasthya/console_refactor/console_routes.py,auto_scan,MISC
246,TASK247,Detected logic: retry_sync,Auto-detected from scan in smartswasthya/console_refactor/console_routes.py,done,AutoScan,smartswasthya/console_refactor/console_routes.py,auto_scan,SYNC_AND_BACKUP
