task_id,title,description,status,source_layer,matched_file,source
TASK141,Create post-submit checklist,Must pass before success,pending,v1,—,v1_csv
TASK142,Scan logic for TODOs,Unfinished items,pending,v1,—,v1_csv
TASK143,Mark critical logic files,Prevent deletion,pending,v1,—,v1_csv
TASK144,Sync scan report to admin,Email summary,pending,v1,—,v1_csv
TASK145,Auto mark deprecated logic,Based on age or tags,pending,v1,—,v1_csv
TASK146,Create logic doc generator,Auto markdown for each file,pending,v1,—,v1_csv
TASK147,Tag UI usage per logic,Used in modal/home/profile,pending,v1,—,v1_csv
TASK148,Link Figma ID to UI tasks,Track UI from Figma,pending,v1,—,v1_csv
TASK149,Enable priority override,Admin push logic to top,pending,v1,—,v1_csv
TASK150,Enable flag for blocked task,Needs approval/clarity,pending,v1,—,v1_csv
TASK151,Enable logic A/B testing,Try multiple versions,pending,v1,—,v1_csv
TASK152,Setup end-to-end test tracker,Link tasks to Cypress/Playwright,pending,v1,—,v1_csv
TASK153,Enable component reuse checker,Scan for redundant UI,pending,v1,—,v1_csv
TASK154,Enable logic folder ownership,Lock per team,pending,v1,—,v1_csv
TASK155,Add sync report preview,Before final submit,pending,v1,—,v1_csv
TASK156,Add AI suggest missing files,Zip upload validator,pending,v1,—,v1_csv
TASK157,Build modular test scaffold,Template for unit tests,pending,v1,—,v1_csv
TASK158,Enable logic notify webhook,Ping on success,pending,v1,—,v1_csv
TASK159,Add contribution heatmap,Calendar view,pending,v1,—,v1_csv
TASK160,Add function-level annotation,Inline explanations,pending,v1,—,v1_csv
TASK161,Enable error trace attach,Dev can attach traceback,pending,v1,—,v1_csv
TASK162,Enable logic submission notes,Dev optional explanation,pending,v1,—,v1_csv
TASK163,Enable code search by keyword,VS Code style,pending,v1,—,v1_csv
TASK164,Enable logic export via API,For documentation use,pending,v1,—,v1_csv
TASK165,Enable smart ZIP name validation,Check format,pending,v1,—,v1_csv
TASK166,Enable logic inheritance map,Parent-child functions,pending,v1,—,v1_csv
TASK167,Mark test-blocked logic,Awaiting test infra,pending,v1,—,v1_csv
TASK168,Show sync history per logic,Past submit timeline,pending,v1,—,v1_csv
TASK169,Enable ZIP → folder unpacker,Auto extract and compare,pending,v1,—,v1_csv
TASK170,Track logic response time,From request to DB,pending,v1,—,v1_csv
TASK171,Add zip checksum validator,Detect upload corruption,pending,v1,—,v1_csv
TASK172,Enable celery job retry viewer,See retry count/reason,pending,v1,—,v1_csv
TASK173,Enable API schema visualizer,FastAPI auto-doc,pending,v1,—,v1_csv
TASK174,Enable broken route tracker,Dead endpoints,pending,v1,—,v1_csv
TASK175,Enable sync summary alert,Popup after every task,pending,v1,—,v1_csv
TASK176,Sync final logic to prod,Push to production after pass,pending,v1,—,v1_csv
TASK177,Enable system audit log,Track all changes,pending,v1,—,v1_csv
TASK178,Enable logic sync chain,Logic A depends on B etc.,pending,v1,—,v1_csv
TASK179,Track rejected tasks,History of rejected uploads,pending,v1,—,v1_csv
TASK180,Show global progress bar,Dev/Task % overall,pending,v1,—,v1_csv
TASK181,Enable VCS sync option,Sync to GitHub/Gitea,pending,v1,—,v1_csv
TASK182,Enable smart link to task,Open task from commit,pending,v1,—,v1_csv
TASK183,Enable AI prompt assist,Auto fill ZIP reason,pending,v1,—,v1_csv
TASK184,Enable legacy ZIP importer,Auto convert V1 zip,pending,v1,—,v1_csv
TASK185,Enable component registry,UI component doc,pending,v1,—,v1_csv
TASK186,Enable cloud sync toggle,Enable S3 sync,pending,v1,—,v1_csv
TASK187,Enable fallback ZIP upload,Retry via browser,pending,v1,—,v1_csv
TASK188,Enable logic tag bulk edit,Change tags via UI,pending,v1,—,v1_csv
TASK189,Enable dev logic notes,Private notes per file,pending,v1,—,v1_csv
TASK190,Final task: Review & QA,End-to-end review of system,pending,v1,—,v1_csv
PDF001,FastAPI + Jinja2 templating,Core platform architecture,pending,Core,—,pdf
PDF002,PostgreSQL + Alembic migration,Database system setup,partial,Core,smartswasthya/alembic/env.py,pdf
PDF003,Docker microservices,"Containers: smart_app, smart_db, smart_minio",partial,Core,smartswasthya/tools/trace_generator.py,pdf
PDF004,OTP System - Mobile + Email,OTP via Fast2SMS and Email cooldown,partial,Core,smartswasthya/blueprints/dev_bucket_routes.py,pdf
PDF005,Sync Logic Phase 1,Local → Server sync working,done,Core,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,pdf
PDF006,Sync Logic Phase 2,Server → Node propagation,done,Core,smartswasthya/blueprints/sync_routes.py,pdf
PDF007,MinIO Chunk Logic,STEP 3-B implemented,done,Core,smartswasthya/logic/admin_trace_logic.py,pdf
PDF008,ABHA / Aadhaar Integration,Future Aadhaar linkage,pending,Core,—,pdf
PDF009,File browser + editor,Ace/Monaco UI + File API,partial,Debug,smartswasthya/blueprints/dev_bucket_routes.py,pdf
PDF010,Patch directory logic,Upload & apply patches,done,Debug,smartswasthya/logic/admin_trace_logic.py,pdf
PDF011,Log tail via subprocess,WebSocket or subprocess stream logs,partial,Debug,smartswasthya/handler.py,pdf
PDF012,Smart Patch Suggestion,Auto-patch logic via AI,done,Debug,smartswasthya/routes/smartuser.py,pdf
PDF013,Side-by-side file diff,Visual comparison UI,partial,Debug,smartswasthya/blueprints/dev_bucket_routes.py,pdf
PDF014,DevBucket Phase 1,Basic engine + task files,done,DevBucket,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,pdf
PDF015,DevBucket Phase 2,"Gmail notifications, logs",pending,DevBucket,—,pdf
PDF016,DevBucket Phase 3-A,Instruction editor approval UI,pending,DevBucket,—,pdf
PDF017,DevBucket Phase 3-B,Auto-slide pending → visible,pending,DevBucket,—,pdf
PDF018,DevBucket Phase 3-C,Task reassignment logic,pending,DevBucket,—,pdf
PDF019,DevBucket Phase 3-D,Admin UI panel,pending,DevBucket,—,pdf
PDF020,DevBucket Phase 4,Smart priority + expiry alerts,done,DevBucket,smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,pdf
PDF021,Model aliasing,SmartUser → User mapping,partial,Compat,smartswasthya/obvious_mapper.py,pdf
PDF022,Self-contained logics,"moderator.py, token_manager.py, email_verification.py",pending,Compat,—,pdf
PDF023,Route-to-model trace,Auto-map routes to model usage,partial,Compat,smartswasthya/obvious_mapper.py,pdf
AUTO001,Detected logic: get_db,Auto-detected from scan in smartswasthya/database.py,done,AutoScan,smartswasthya/database.py,auto_scan
AUTO002,Detected logic: check_router_imports,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO003,Detected logic: check_main_app_entry,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO004,Detected logic: check_structure_consistency,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO005,Detected logic: find_duplicate_routes,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO006,Detected logic: log,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO007,Detected logic: load_safe,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO008,Detected logic: save_safe,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO009,Detected logic: add_safe_folder,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO010,Detected logic: update_tags,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO011,Detected logic: full_scan,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO012,Detected logic: trigger_reload,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO013,Detected logic: generate_assist,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO014,Detected logic: home,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO015,Detected logic: rename_route,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO016,Detected logic: command,Auto-detected from scan in smartswasthya/handler.py,done,AutoScan,smartswasthya/handler.py,auto_scan
AUTO017,Detected logic: health,Auto-detected from scan in smartswasthya/main.py,done,AutoScan,smartswasthya/main.py,auto_scan
AUTO018,Detected logic: ensure_all_inits,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan
AUTO019,Detected logic: extract_classes_from_model,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan
AUTO020,Detected logic: generate_model_trace,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan
AUTO021,Detected logic: run,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan
AUTO022,Detected logic: register_section,Auto-detected from scan in smartswasthya/obvious_mapper.py,done,AutoScan,smartswasthya/obvious_mapper.py,auto_scan
AUTO023,Detected logic: run_migrations_offline,Auto-detected from scan in smartswasthya/alembic/env.py,done,AutoScan,smartswasthya/alembic/env.py,auto_scan
AUTO024,Detected logic: run_migrations_online,Auto-detected from scan in smartswasthya/alembic/env.py,done,AutoScan,smartswasthya/alembic/env.py,auto_scan
AUTO025,Detected logic: upgrade,Auto-detected from scan in smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,done,AutoScan,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,auto_scan
AUTO026,Detected logic: downgrade,Auto-detected from scan in smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,done,AutoScan,smartswasthya/alembic/versions/085c13600c7d_add_dev_tasks_table.py,auto_scan
AUTO027,Detected logic: upgrade,Auto-detected from scan in smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,done,AutoScan,smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,auto_scan
AUTO028,Detected logic: downgrade,Auto-detected from scan in smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,done,AutoScan,smartswasthya/alembic/versions/4675d330ee7b_init_fresh_schema.py,auto_scan
AUTO029,Detected logic: get_file,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan
AUTO030,Detected logic: can_upload,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan
AUTO031,Detected logic: ping,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan
AUTO032,Detected logic: get_system_tasks,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan
AUTO033,Detected logic: dev_bucket_ui,Auto-detected from scan in smartswasthya/blueprints/dev_bucket_routes.py,done,AutoScan,smartswasthya/blueprints/dev_bucket_routes.py,auto_scan
AUTO034,Detected logic: sync_placeholder,Auto-detected from scan in smartswasthya/blueprints/sync_routes.py,done,AutoScan,smartswasthya/blueprints/sync_routes.py,auto_scan
AUTO035,Detected logic: home,Auto-detected from scan in smartswasthya/console_refactor/console_routes.py,done,AutoScan,smartswasthya/console_refactor/console_routes.py,auto_scan
AUTO036,Detected logic: scan_modified,Auto-detected from scan in smartswasthya/console_refactor/console_routes.py,done,AutoScan,smartswasthya/console_refactor/console_routes.py,auto_scan
AUTO037,Detected logic: retry_sync,Auto-detected from scan in smartswasthya/console_refactor/console_routes.py,done,AutoScan,smartswasthya/console_refactor/console_routes.py,auto_scan
AUTO038,Detected logic: run_dev_console,Auto-detected from scan in smartswasthya/console_refactor/console_runner.py,done,AutoScan,smartswasthya/console_refactor/console_runner.py,auto_scan
AUTO039,Detected logic: should_skip_path,Auto-detected from scan in smartswasthya/console_refactor/console_utils.py,done,AutoScan,smartswasthya/console_refactor/console_utils.py,auto_scan
AUTO040,Detected logic: get_files_modified_between,Auto-detected from scan in smartswasthya/console_refactor/console_utils.py,done,AutoScan,smartswasthya/console_refactor/console_utils.py,auto_scan
AUTO041,Detected logic: load_retry_list,Auto-detected from scan in smartswasthya/console_refactor/console_utils.py,done,AutoScan,smartswasthya/console_refactor/console_utils.py,auto_scan
AUTO042,Detected logic: generate_console_log,Auto-detected from scan in smartswasthya/console_refactor/console_utils.py,done,AutoScan,smartswasthya/console_refactor/console_utils.py,auto_scan
AUTO043,Detected logic: set_permission,Auto-detected from scan in smartswasthya/logic/admin_trace_logic.py,done,AutoScan,smartswasthya/logic/admin_trace_logic.py,auto_scan
AUTO044,Detected logic: get_permissions,Auto-detected from scan in smartswasthya/logic/admin_trace_logic.py,done,AutoScan,smartswasthya/logic/admin_trace_logic.py,auto_scan
AUTO045,Detected logic: reset_permissions,Auto-detected from scan in smartswasthya/logic/admin_trace_logic.py,done,AutoScan,smartswasthya/logic/admin_trace_logic.py,auto_scan
AUTO046,Detected logic: get_active_developers_with_permissions,Auto-detected from scan in smartswasthya/logic/admin_trace_logic.py,done,AutoScan,smartswasthya/logic/admin_trace_logic.py,auto_scan
AUTO047,Detected logic: get_current_user,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO048,Detected logic: verify_password,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO049,Detected logic: get_password_hash,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO050,Detected logic: authenticate_user,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO051,Detected logic: create_access_token,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO052,Detected logic: register_user_logic,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO053,Detected logic: get_current_user,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO054,Detected logic: decode_token,Auto-detected from scan in smartswasthya/logic/auth.py,done,AutoScan,smartswasthya/logic/auth.py,auto_scan
AUTO055,Detected logic: fetch_all_tasks,Auto-detected from scan in smartswasthya/logic/dev_bucket_logic.py,done,AutoScan,smartswasthya/logic/dev_bucket_logic.py,auto_scan
AUTO056,Detected logic: get_task_details,Auto-detected from scan in smartswasthya/logic/dev_bucket_logic.py,done,AutoScan,smartswasthya/logic/dev_bucket_logic.py,auto_scan
AUTO057,Detected logic: submit_task_result,Auto-detected from scan in smartswasthya/logic/dev_bucket_logic.py,done,AutoScan,smartswasthya/logic/dev_bucket_logic.py,auto_scan
AUTO058,Detected logic: add,Auto-detected from scan in smartswasthya/logic/dummy_task.py,done,AutoScan,smartswasthya/logic/dummy_task.py,auto_scan
AUTO059,Detected logic: can_resend_otp,Auto-detected from scan in smartswasthya/logic/email_otp_logic.py,done,AutoScan,smartswasthya/logic/email_otp_logic.py,auto_scan
AUTO060,Detected logic: send_email_otp_logic,Auto-detected from scan in smartswasthya/logic/email_otp_logic.py,done,AutoScan,smartswasthya/logic/email_otp_logic.py,auto_scan
AUTO061,Detected logic: verify_email_otp_logic,Auto-detected from scan in smartswasthya/logic/email_otp_logic.py,done,AutoScan,smartswasthya/logic/email_otp_logic.py,auto_scan
AUTO062,Detected logic: send_email,Auto-detected from scan in smartswasthya/logic/email_otp_logic.py,done,AutoScan,smartswasthya/logic/email_otp_logic.py,auto_scan
AUTO063,Detected logic: get_user_by_email,Auto-detected from scan in smartswasthya/logic/helper.py,done,AutoScan,smartswasthya/logic/helper.py,auto_scan
AUTO064,Detected logic: generate_tags,Auto-detected from scan in smartswasthya/logic/instruction_logic.py,done,AutoScan,smartswasthya/logic/instruction_logic.py,auto_scan
AUTO065,Detected logic: determine_priority,Auto-detected from scan in smartswasthya/logic/instruction_logic.py,done,AutoScan,smartswasthya/logic/instruction_logic.py,auto_scan
AUTO066,Detected logic: determine_module_type,Auto-detected from scan in smartswasthya/logic/instruction_logic.py,done,AutoScan,smartswasthya/logic/instruction_logic.py,auto_scan
